ID_Vulnerabilidade,ID_Ativo,Severidade,Data_Detectada,Status_Correção
VUL001985,ATV00566,Alta,2025-03-30,Não Corrigida
VUL001986,ATV00567,Baixa,2025-03-08,Em Progresso
VUL001987,ATV00853,Alta,2025-01-23,Não Corrigida
VUL001988,ATV00443,Baixa,2025-03-10,Não Corrigida
VUL001989,ATV00811,Crítica,2024-12-26,Em Progresso
VUL001990,ATV00391,Alta,2024-12-12,Não Corrigida
VUL001991,ATV00985,Baixa,2024-12-31,Em Progresso
VUL001992,ATV00010,Alta,2025-01-24,Em Progresso
VUL001993,ATV00166,Baixa,2025-02-15,Em Progresso
VUL001994,ATV00264,Baixa,2025-04-25,Corrigida
VUL001995,ATV00875,Alta,2025-03-25,Corrigida
VUL001996,ATV00990,Média,2025-03-29,Corrigida
VUL001997,ATV00417,Média,2025-04-27,Em Progresso
VUL001998,ATV00418,Média,2025-04-21,Corrigida
VUL001999,ATV00233,Crítica,2025-02-26,Corrigida
VUL002000,ATV00937,Crítica,2024-12-09,Corrigida
VUL002001,ATV00549,Baixa,2025-03-26,Em Progresso
VUL002002,ATV00883,Média,2025-04-29,Corrigida
VUL002003,ATV00239,Baixa,2024-11-30,Em Progresso
VUL002004,ATV00663,Crítica,2025-02-01,Corrigida
VUL002005,ATV00060,Alta,2025-01-05,Em Progresso
VUL002006,ATV00025,Alta,2024-12-20,Em Progresso
VUL002007,ATV00790,Crítica,2025-05-08,Em Progresso
VUL002008,ATV00070,Baixa,2024-12-24,Não Corrigida
VUL002009,ATV00277,Média,2025-01-18,Em Progresso
VUL002010,ATV00021,Crítica,2025-04-05,Corrigida
VUL002011,ATV00597,Alta,2024-11-25,Em Progresso
VUL002012,ATV00345,Alta,2025-03-11,Corrigida
VUL002013,ATV00150,Crítica,2025-05-10,Não Corrigida
VUL002014,ATV00345,Média,2025-02-18,Em Progresso
VUL002015,ATV00497,Crítica,2025-03-21,Em Progresso
VUL002016,ATV00291,Média,2024-12-09,Não Corrigida
VUL002017,ATV00991,Crítica,2025-01-08,Em Progresso
VUL002018,ATV00953,Baixa,2025-03-25,Não Corrigida
VUL002019,ATV00405,Crítica,2025-01-15,Em Progresso
VUL002020,ATV00369,Alta,2024-12-27,Não Corrigida
VUL002021,ATV00617,Alta,2025-03-21,Em Progresso
VUL002022,ATV00833,Média,2025-03-02,Em Progresso
VUL002023,ATV00613,Crítica,2025-03-14,Não Corrigida
VUL002024,ATV00288,Crítica,2025-03-12,Corrigida
VUL002025,ATV00548,Média,2024-12-28,Em Progresso
VUL002026,ATV00926,Alta,2025-02-20,Em Progresso
VUL002027,ATV00613,Baixa,2025-01-24,Corrigida
VUL002028,ATV00196,Crítica,2024-12-13,Não Corrigida
VUL002029,ATV00309,Média,2025-04-23,Não Corrigida
VUL002030,ATV00114,Crítica,2025-05-01,Em Progresso
VUL002031,ATV00285,Baixa,2025-04-16,Não Corrigida
VUL002032,ATV00367,Baixa,2025-04-03,Não Corrigida
VUL002033,ATV00522,Baixa,2024-11-26,Não Corrigida
VUL002034,ATV00245,Média,2025-02-26,Em Progresso
VUL002035,ATV00866,Alta,2025-01-24,Em Progresso
VUL002036,ATV00772,Média,2024-11-30,Em Progresso
VUL002037,ATV00717,Alta,2025-05-02,Não Corrigida
VUL002038,ATV00679,Média,2024-12-05,Não Corrigida
VUL002039,ATV00391,Alta,2025-01-16,Não Corrigida
VUL002040,ATV00855,Crítica,2025-03-11,Em Progresso
VUL002041,ATV00332,Alta,2025-01-22,Em Progresso
VUL002042,ATV00552,Alta,2025-01-27,Corrigida
VUL002043,ATV00774,Média,2025-01-03,Em Progresso
VUL002044,ATV00489,Média,2025-03-11,Corrigida
VUL002045,ATV00313,Crítica,2025-04-26,Não Corrigida
VUL002046,ATV00267,Alta,2025-02-17,Em Progresso
VUL002047,ATV00064,Crítica,2024-11-27,Corrigida
VUL002048,ATV00887,Crítica,2025-03-09,Em Progresso
VUL002049,ATV00199,Alta,2024-12-12,Em Progresso
VUL002050,ATV00109,Média,2024-12-02,Corrigida
VUL002051,ATV00824,Baixa,2025-03-02,Corrigida
VUL002052,ATV00257,Alta,2025-05-04,Corrigida
VUL002053,ATV00848,Baixa,2025-03-16,Corrigida
VUL002054,ATV00422,Crítica,2025-04-28,Corrigida
VUL002055,ATV00691,Crítica,2025-05-07,Corrigida
VUL002056,ATV00016,Crítica,2024-12-16,Corrigida
VUL002057,ATV00402,Alta,2024-11-26,Corrigida
VUL002058,ATV00451,Crítica,2025-03-19,Não Corrigida
VUL002059,ATV00487,Média,2025-05-04,Não Corrigida
VUL002060,ATV00871,Alta,2025-05-05,Corrigida
VUL002061,ATV00563,Alta,2025-02-06,Corrigida
VUL002062,ATV00192,Alta,2025-03-17,Corrigida
VUL002063,ATV00783,Alta,2025-03-15,Em Progresso
VUL002064,ATV00364,Alta,2024-12-13,Corrigida
VUL002065,ATV00545,Média,2025-05-11,Corrigida
VUL002066,ATV00042,Crítica,2024-11-24,Não Corrigida
VUL002067,ATV00227,Média,2025-02-12,Corrigida
VUL002068,ATV00844,Baixa,2025-02-10,Não Corrigida
VUL002069,ATV00933,Baixa,2025-03-02,Não Corrigida
VUL002070,ATV00350,Baixa,2025-04-15,Em Progresso
VUL002071,ATV00836,Crítica,2025-04-05,Não Corrigida
VUL002072,ATV00003,Crítica,2024-12-04,Em Progresso
VUL002073,ATV00403,Média,2025-01-23,Corrigida
VUL002074,ATV00234,Média,2025-04-21,Não Corrigida
VUL002075,ATV00798,Alta,2025-02-23,Corrigida
VUL002076,ATV00394,Média,2025-04-18,Não Corrigida
VUL002077,ATV00492,Crítica,2025-04-16,Em Progresso
VUL002078,ATV00557,Média,2025-02-14,Não Corrigida
VUL002079,ATV00647,Crítica,2024-12-31,Corrigida
VUL002080,ATV00997,Crítica,2025-01-16,Não Corrigida
VUL002081,ATV00872,Crítica,2024-12-07,Não Corrigida
VUL002082,ATV00178,Crítica,2025-03-06,Em Progresso
VUL002083,ATV00940,Crítica,2025-04-29,Corrigida
VUL002084,ATV00506,Média,2025-03-15,Não Corrigida
VUL002085,ATV00287,Crítica,2025-04-29,Corrigida
VUL002086,ATV00557,Alta,2025-05-02,Em Progresso
VUL002087,ATV00788,Alta,2025-02-27,Em Progresso
VUL002088,ATV00341,Baixa,2024-12-04,Em Progresso
VUL002089,ATV00357,Alta,2025-03-20,Não Corrigida
VUL002090,ATV00920,Média,2024-12-30,Em Progresso
VUL002091,ATV00200,Média,2025-02-21,Corrigida
VUL002092,ATV00692,Alta,2025-01-12,Em Progresso
VUL002093,ATV00390,Crítica,2025-02-14,Corrigida
VUL002094,ATV00526,Média,2025-03-10,Em Progresso
VUL002095,ATV00221,Média,2025-04-28,Corrigida
VUL002096,ATV00074,Baixa,2025-03-19,Corrigida
VUL002097,ATV00494,Baixa,2025-02-06,Corrigida
VUL002098,ATV00683,Média,2025-03-10,Corrigida
VUL002099,ATV00551,Alta,2025-03-24,Corrigida
VUL002100,ATV00361,Crítica,2025-04-08,Não Corrigida
VUL002101,ATV00626,Alta,2025-01-24,Em Progresso
VUL002102,ATV00794,Crítica,2025-02-20,Em Progresso
VUL002103,ATV00872,Crítica,2025-03-04,Não Corrigida
VUL002104,ATV00510,Baixa,2024-12-07,Em Progresso
VUL002105,ATV00841,Média,2025-05-01,Em Progresso
VUL002106,ATV00866,Baixa,2025-03-18,Não Corrigida
VUL002107,ATV00811,Alta,2025-02-23,Não Corrigida
VUL002108,ATV00150,Baixa,2024-12-01,Corrigida
VUL002109,ATV00226,Baixa,2025-02-19,Corrigida
VUL002110,ATV00039,Crítica,2025-02-01,Corrigida
VUL002111,ATV00391,Baixa,2025-02-20,Não Corrigida
VUL002112,ATV00786,Baixa,2025-03-13,Em Progresso
VUL002113,ATV00967,Alta,2025-03-26,Não Corrigida
VUL002114,ATV00968,Baixa,2025-04-28,Não Corrigida
VUL002115,ATV00632,Alta,2025-04-02,Corrigida
VUL002116,ATV00808,Alta,2025-01-23,Não Corrigida
VUL002117,ATV00303,Baixa,2025-01-11,Corrigida
VUL002118,ATV00040,Média,2024-12-12,Em Progresso
VUL002119,ATV00356,Baixa,2024-12-24,Corrigida
VUL002120,ATV00893,Média,2025-03-14,Corrigida
VUL002121,ATV00548,Alta,2025-01-06,Não Corrigida
VUL002122,ATV00176,Média,2025-01-18,Em Progresso
VUL002123,ATV00616,Crítica,2025-03-30,Não Corrigida
VUL002124,ATV00060,Crítica,2024-12-30,Em Progresso
VUL002125,ATV00413,Alta,2025-04-22,Corrigida
VUL002126,ATV00863,Crítica,2025-04-07,Corrigida
VUL002127,ATV00633,Alta,2025-01-16,Corrigida
VUL002128,ATV00299,Baixa,2024-12-24,Em Progresso
VUL002129,ATV00831,Baixa,2024-12-05,Não Corrigida
VUL002130,ATV00703,Baixa,2025-01-08,Em Progresso
VUL002131,ATV00239,Média,2025-03-22,Não Corrigida
VUL002132,ATV00327,Crítica,2025-04-04,Não Corrigida
VUL002133,ATV00376,Baixa,2025-04-17,Em Progresso
VUL002134,ATV00408,Média,2024-12-06,Em Progresso
VUL002135,ATV00106,Baixa,2025-03-20,Não Corrigida
VUL002136,ATV00308,Baixa,2025-05-10,Corrigida
VUL002137,ATV00083,Média,2025-02-17,Corrigida
VUL002138,ATV00651,Baixa,2025-04-01,Não Corrigida
VUL002139,ATV00556,Média,2024-12-22,Não Corrigida
VUL002140,ATV00458,Baixa,2025-03-02,Corrigida
VUL002141,ATV00026,Alta,2025-02-07,Corrigida
VUL002142,ATV00435,Alta,2024-12-07,Em Progresso
VUL002143,ATV00130,Baixa,2025-03-22,Corrigida
VUL002144,ATV00411,Alta,2024-12-26,Em Progresso
VUL002145,ATV00053,Crítica,2024-11-24,Em Progresso
VUL002146,ATV00350,Crítica,2025-01-21,Corrigida
VUL002147,ATV00808,Média,2025-02-04,Corrigida
VUL002148,ATV00649,Alta,2025-03-07,Corrigida
VUL002149,ATV00747,Baixa,2025-03-14,Em Progresso
VUL002150,ATV00101,Alta,2024-12-13,Em Progresso
VUL002151,ATV00756,Média,2025-02-02,Não Corrigida
VUL002152,ATV00989,Alta,2025-02-05,Em Progresso
VUL002153,ATV00060,Crítica,2025-01-04,Corrigida
VUL002154,ATV00086,Crítica,2025-03-13,Corrigida
VUL002155,ATV00133,Alta,2025-04-28,Em Progresso
VUL002156,ATV00424,Crítica,2025-01-11,Não Corrigida
VUL002157,ATV00105,Alta,2024-12-12,Corrigida
VUL002158,ATV00265,Baixa,2025-05-05,Em Progresso
VUL002159,ATV00486,Crítica,2025-01-03,Não Corrigida
VUL002160,ATV00741,Baixa,2025-04-29,Corrigida
VUL002161,ATV00847,Média,2024-12-04,Em Progresso
VUL002162,ATV00344,Média,2024-12-09,Corrigida
VUL002163,ATV00073,Crítica,2025-01-07,Não Corrigida
VUL002164,ATV00962,Baixa,2024-12-16,Não Corrigida
VUL002165,ATV00731,Crítica,2025-02-21,Não Corrigida
VUL002166,ATV00292,Alta,2025-04-27,Em Progresso
VUL002167,ATV00803,Média,2025-03-03,Corrigida
VUL002168,ATV00179,Média,2025-01-21,Não Corrigida
VUL002169,ATV00001,Baixa,2025-05-04,Em Progresso
VUL002170,ATV00545,Alta,2025-01-09,Em Progresso
VUL002171,ATV00626,Alta,2025-04-20,Não Corrigida
VUL002172,ATV00784,Baixa,2025-03-30,Não Corrigida
VUL002173,ATV00159,Alta,2025-01-01,Corrigida
VUL002174,ATV00598,Média,2024-12-31,Corrigida
VUL002175,ATV00663,Alta,2025-02-07,Corrigida
VUL002176,ATV00871,Média,2025-05-07,Não Corrigida
VUL002177,ATV00403,Crítica,2025-04-05,Em Progresso
VUL002178,ATV00494,Média,2025-04-10,Corrigida
VUL002179,ATV00547,Baixa,2025-01-22,Não Corrigida
VUL002180,ATV00590,Média,2024-12-11,Não Corrigida
VUL002181,ATV00803,Média,2025-04-07,Não Corrigida
VUL002182,ATV00725,Baixa,2025-05-09,Não Corrigida
VUL002183,ATV00726,Baixa,2025-02-19,Corrigida
VUL002184,ATV00174,Alta,2025-01-06,Não Corrigida
VUL002185,ATV00880,Média,2025-04-14,Corrigida
VUL002186,ATV00269,Alta,2024-12-13,Não Corrigida
VUL002187,ATV00621,Alta,2025-03-28,Corrigida
VUL002188,ATV00291,Alta,2024-12-12,Não Corrigida
VUL002189,ATV00291,Média,2025-01-30,Corrigida
VUL002190,ATV00379,Baixa,2025-01-04,Em Progresso
VUL002191,ATV00230,Alta,2025-05-10,Em Progresso
VUL002192,ATV00577,Crítica,2025-02-03,Em Progresso
VUL002193,ATV00464,Alta,2025-02-06,Corrigida
VUL002194,ATV00849,Média,2025-03-27,Corrigida
VUL002195,ATV00722,Crítica,2025-03-14,Em Progresso
VUL002196,ATV00496,Crítica,2024-12-04,Não Corrigida
VUL002197,ATV00903,Crítica,2025-04-16,Não Corrigida
VUL002198,ATV00691,Média,2025-04-22,Não Corrigida
VUL002199,ATV00716,Crítica,2025-03-24,Não Corrigida
VUL002200,ATV00828,Crítica,2025-01-12,Em Progresso
VUL002201,ATV00268,Crítica,2025-01-05,Em Progresso
VUL002202,ATV00056,Crítica,2024-12-18,Em Progresso
VUL002203,ATV00560,Média,2025-05-07,Em Progresso
VUL002204,ATV00168,Baixa,2024-11-25,Corrigida
VUL002205,ATV00888,Média,2025-01-08,Corrigida
VUL002206,ATV00816,Alta,2025-01-18,Corrigida
VUL002207,ATV00976,Baixa,2024-12-20,Em Progresso
VUL002208,ATV00012,Alta,2025-02-24,Não Corrigida
VUL002209,ATV00632,Média,2025-02-13,Em Progresso
VUL002210,ATV00194,Crítica,2025-01-05,Não Corrigida
VUL002211,ATV00981,Baixa,2025-01-16,Não Corrigida
VUL002212,ATV00512,Alta,2025-03-26,Em Progresso
VUL002213,ATV00915,Crítica,2024-12-23,Não Corrigida
VUL002214,ATV00198,Crítica,2025-02-20,Corrigida
VUL002215,ATV00654,Alta,2025-02-08,Corrigida
VUL002216,ATV00802,Alta,2025-02-24,Não Corrigida
VUL002217,ATV00363,Crítica,2025-03-31,Corrigida
VUL002218,ATV00113,Crítica,2025-03-24,Corrigida
VUL002219,ATV00169,Alta,2025-02-24,Corrigida
VUL002220,ATV00638,Baixa,2025-02-10,Não Corrigida
VUL002221,ATV00589,Crítica,2025-04-05,Corrigida
VUL002222,ATV00895,Baixa,2025-03-27,Não Corrigida
VUL002223,ATV00101,Média,2025-02-20,Corrigida
VUL002224,ATV00107,Média,2025-02-17,Corrigida
VUL002225,ATV00155,Alta,2024-11-23,Em Progresso
VUL002226,ATV00697,Média,2025-01-15,Não Corrigida
VUL002227,ATV00379,Alta,2024-12-15,Corrigida
VUL002228,ATV00321,Baixa,2024-11-29,Não Corrigida
VUL002229,ATV00646,Crítica,2024-12-16,Em Progresso
VUL002230,ATV00015,Média,2025-04-29,Em Progresso
VUL002231,ATV00497,Média,2025-04-15,Não Corrigida
VUL002232,ATV00260,Crítica,2025-02-04,Corrigida
VUL002233,ATV00659,Baixa,2025-04-14,Não Corrigida
VUL002234,ATV00421,Baixa,2025-02-12,Não Corrigida
VUL002235,ATV00654,Crítica,2025-03-23,Em Progresso
VUL002236,ATV00697,Média,2025-02-13,Não Corrigida
VUL002237,ATV00214,Alta,2025-01-31,Em Progresso
VUL002238,ATV00395,Baixa,2024-12-16,Não Corrigida
VUL002239,ATV00916,Crítica,2025-02-11,Não Corrigida
VUL002240,ATV00448,Crítica,2025-02-09,Não Corrigida
VUL002241,ATV00280,Média,2025-01-10,Em Progresso
VUL002242,ATV00168,Baixa,2025-03-02,Corrigida
VUL002243,ATV00688,Crítica,2025-01-31,Não Corrigida
VUL002244,ATV00695,Média,2025-01-11,Não Corrigida
VUL002245,ATV00280,Média,2025-04-08,Corrigida
VUL002246,ATV00188,Baixa,2024-12-22,Não Corrigida
VUL002247,ATV00033,Média,2025-01-27,Não Corrigida
VUL002248,ATV00479,Baixa,2025-04-28,Corrigida
VUL002249,ATV00464,Alta,2025-04-29,Em Progresso
VUL002250,ATV00870,Alta,2024-11-24,Em Progresso
VUL002251,ATV00829,Média,2024-11-30,Corrigida
VUL002252,ATV00693,Alta,2025-05-08,Corrigida
VUL002253,ATV00621,Baixa,2025-04-27,Corrigida
VUL002254,ATV00797,Baixa,2025-01-22,Não Corrigida
VUL002255,ATV00279,Alta,2024-11-26,Não Corrigida
VUL002256,ATV00779,Média,2025-03-08,Não Corrigida
VUL002257,ATV00128,Alta,2025-03-02,Em Progresso
VUL002258,ATV00085,Baixa,2025-04-17,Corrigida
VUL002259,ATV00632,Baixa,2024-12-13,Não Corrigida
VUL002260,ATV00697,Crítica,2025-01-04,Em Progresso
VUL002261,ATV00232,Baixa,2025-03-04,Em Progresso
VUL002262,ATV00620,Média,2025-02-18,Não Corrigida
VUL002263,ATV00886,Alta,2025-03-18,Corrigida
VUL002264,ATV00431,Baixa,2025-02-05,Não Corrigida
VUL002265,ATV00605,Baixa,2025-04-12,Não Corrigida
VUL002266,ATV00312,Alta,2025-03-15,Não Corrigida
VUL002267,ATV00836,Baixa,2025-05-02,Em Progresso
VUL002268,ATV00994,Alta,2025-04-04,Em Progresso
VUL002269,ATV00797,Baixa,2025-01-01,Corrigida
VUL002270,ATV00976,Alta,2024-11-23,Não Corrigida
VUL002271,ATV00327,Baixa,2024-12-29,Em Progresso
VUL002272,ATV00740,Alta,2025-03-20,Não Corrigida
VUL002273,ATV00599,Crítica,2025-05-07,Em Progresso
VUL002274,ATV00355,Média,2025-02-04,Em Progresso
VUL002275,ATV00650,Baixa,2024-11-23,Não Corrigida
VUL002276,ATV00137,Crítica,2025-01-26,Em Progresso
VUL002277,ATV00592,Média,2025-02-15,Corrigida
VUL002278,ATV00690,Crítica,2025-04-04,Corrigida
VUL002279,ATV00150,Média,2025-01-18,Não Corrigida
VUL002280,ATV00020,Crítica,2025-02-13,Em Progresso
VUL002281,ATV00896,Baixa,2025-01-31,Em Progresso
VUL002282,ATV00166,Média,2024-12-14,Em Progresso
VUL002283,ATV00698,Baixa,2025-05-09,Corrigida
VUL002284,ATV00148,Alta,2025-01-18,Não Corrigida
VUL002285,ATV00291,Baixa,2025-04-05,Não Corrigida
VUL002286,ATV00966,Baixa,2025-01-28,Não Corrigida
VUL002287,ATV00553,Alta,2024-12-24,Em Progresso
VUL002288,ATV00455,Crítica,2024-12-18,Corrigida
VUL002289,ATV00838,Crítica,2025-01-14,Em Progresso
VUL002290,ATV00133,Média,2025-01-22,Não Corrigida
VUL002291,ATV00661,Média,2025-04-24,Corrigida
VUL002292,ATV00670,Crítica,2025-02-15,Não Corrigida
VUL002293,ATV00527,Crítica,2025-01-15,Em Progresso
VUL002294,ATV00696,Baixa,2025-01-09,Não Corrigida
VUL002295,ATV00497,Alta,2025-01-29,Corrigida
VUL002296,ATV00241,Média,2025-01-25,Não Corrigida
VUL002297,ATV00003,Alta,2025-03-11,Corrigida
VUL002298,ATV00837,Baixa,2025-01-08,Não Corrigida
VUL002299,ATV00703,Crítica,2024-12-05,Em Progresso
VUL002300,ATV00097,Crítica,2024-11-28,Em Progresso
VUL002301,ATV00297,Baixa,2025-01-14,Corrigida
VUL002302,ATV00882,Alta,2024-12-27,Não Corrigida
VUL002303,ATV00824,Alta,2025-01-29,Em Progresso
VUL002304,ATV00698,Média,2025-05-01,Corrigida
VUL002305,ATV00184,Alta,2025-02-25,Em Progresso
VUL002306,ATV00858,Baixa,2025-03-20,Corrigida
VUL002307,ATV00552,Baixa,2025-01-24,Corrigida
VUL002308,ATV00804,Média,2025-01-30,Em Progresso
VUL002309,ATV00858,Alta,2025-03-24,Corrigida
VUL002310,ATV00257,Média,2025-04-02,Em Progresso
VUL002311,ATV00668,Baixa,2025-05-12,Não Corrigida
VUL002312,ATV00436,Alta,2024-12-03,Corrigida
VUL002313,ATV00092,Baixa,2024-12-28,Em Progresso
VUL002314,ATV00810,Baixa,2025-05-11,Corrigida
VUL002315,ATV00609,Baixa,2025-01-14,Não Corrigida
VUL002316,ATV00566,Crítica,2025-03-02,Corrigida
VUL002317,ATV00511,Crítica,2025-01-14,Não Corrigida
VUL002318,ATV00243,Alta,2025-03-17,Não Corrigida
VUL002319,ATV00068,Média,2024-12-21,Em Progresso
VUL002320,ATV00660,Média,2025-03-26,Em Progresso
VUL002321,ATV00948,Média,2025-05-01,Em Progresso
VUL002322,ATV00316,Crítica,2024-12-28,Em Progresso
VUL002323,ATV00074,Baixa,2025-04-22,Em Progresso
VUL002324,ATV00854,Alta,2025-03-23,Não Corrigida
VUL002325,ATV00170,Média,2024-12-26,Não Corrigida
VUL002326,ATV00692,Média,2025-01-26,Em Progresso
VUL002327,ATV00770,Crítica,2025-04-30,Em Progresso
VUL002328,ATV00205,Crítica,2025-04-29,Não Corrigida
VUL002329,ATV00818,Baixa,2025-04-03,Em Progresso
VUL002330,ATV00280,Alta,2025-02-26,Corrigida
VUL002331,ATV00881,Crítica,2025-01-09,Não Corrigida
VUL002332,ATV00495,Média,2024-11-27,Em Progresso
VUL002333,ATV00224,Baixa,2024-12-31,Corrigida
VUL002334,ATV00366,Alta,2025-05-02,Corrigida
VUL002335,ATV00212,Crítica,2025-04-10,Não Corrigida
VUL002336,ATV00020,Alta,2025-03-12,Em Progresso
VUL002337,ATV00364,Crítica,2025-04-11,Corrigida
VUL002338,ATV00717,Crítica,2024-12-05,Não Corrigida
VUL002339,ATV00666,Alta,2025-01-25,Não Corrigida
VUL002340,ATV00036,Média,2024-11-30,Não Corrigida
VUL002341,ATV00323,Crítica,2024-12-03,Não Corrigida
VUL002342,ATV00870,Crítica,2025-02-08,Em Progresso
VUL002343,ATV00637,Baixa,2025-01-20,Em Progresso
VUL002344,ATV00727,Baixa,2025-04-16,Não Corrigida
VUL002345,ATV00260,Crítica,2024-12-28,Corrigida
VUL002346,ATV00899,Crítica,2024-12-04,Corrigida
VUL002347,ATV00234,Crítica,2025-03-31,Em Progresso
VUL002348,ATV00042,Crítica,2025-01-26,Não Corrigida
VUL002349,ATV00315,Alta,2025-01-06,Não Corrigida
VUL002350,ATV00178,Baixa,2024-11-28,Em Progresso
VUL002351,ATV00852,Baixa,2025-04-06,Corrigida
VUL002352,ATV00408,Baixa,2025-05-06,Não Corrigida
VUL002353,ATV00808,Média,2025-04-13,Em Progresso
VUL002354,ATV00325,Baixa,2025-04-21,Não Corrigida
VUL002355,ATV00212,Alta,2025-03-17,Em Progresso
VUL002356,ATV00989,Alta,2025-01-17,Em Progresso
VUL002357,ATV00283,Baixa,2025-04-12,Corrigida
VUL002358,ATV00661,Alta,2025-04-19,Em Progresso
VUL002359,ATV00989,Alta,2025-05-01,Não Corrigida
VUL002360,ATV00523,Crítica,2025-05-05,Em Progresso
VUL002361,ATV00284,Crítica,2025-02-01,Corrigida
VUL002362,ATV00120,Baixa,2025-01-03,Em Progresso
VUL002363,ATV00070,Crítica,2024-12-20,Não Corrigida
VUL002364,ATV00363,Baixa,2025-05-04,Corrigida
VUL002365,ATV00318,Alta,2024-12-06,Não Corrigida
VUL002366,ATV00201,Média,2025-01-11,Não Corrigida
VUL002367,ATV00047,Alta,2025-02-24,Corrigida
VUL002368,ATV00845,Média,2025-02-14,Corrigida
VUL002369,ATV00701,Alta,2025-04-26,Em Progresso
VUL002370,ATV00540,Crítica,2025-03-24,Não Corrigida
VUL002371,ATV00146,Crítica,2025-05-10,Em Progresso
VUL002372,ATV00031,Baixa,2025-01-22,Em Progresso
VUL002373,ATV00929,Alta,2024-12-18,Em Progresso
VUL002374,ATV00954,Média,2024-12-10,Não Corrigida
VUL002375,ATV00691,Média,2025-02-28,Corrigida
VUL002376,ATV00920,Alta,2024-12-04,Não Corrigida
VUL002377,ATV00703,Crítica,2024-12-24,Não Corrigida
VUL002378,ATV00440,Média,2025-04-07,Não Corrigida
VUL002379,ATV00404,Crítica,2025-03-21,Não Corrigida
VUL002380,ATV00749,Crítica,2025-04-19,Não Corrigida
VUL002381,ATV00605,Média,2025-04-22,Corrigida
VUL002382,ATV00267,Média,2025-01-27,Corrigida
VUL002383,ATV00212,Baixa,2025-02-12,Não Corrigida
VUL002384,ATV00622,Baixa,2025-02-22,Não Corrigida
VUL002385,ATV00384,Crítica,2025-01-11,Em Progresso
VUL002386,ATV00877,Alta,2025-02-12,Não Corrigida
VUL002387,ATV00255,Baixa,2025-01-31,Não Corrigida
VUL002388,ATV00678,Crítica,2025-04-25,Corrigida
VUL002389,ATV00637,Média,2024-12-31,Não Corrigida
VUL002390,ATV00602,Baixa,2025-02-12,Em Progresso
VUL002391,ATV00816,Média,2025-02-21,Não Corrigida
VUL002392,ATV00590,Crítica,2025-01-03,Em Progresso
VUL002393,ATV00267,Média,2025-03-09,Corrigida
VUL002394,ATV00149,Baixa,2025-05-08,Não Corrigida
VUL002395,ATV00116,Alta,2024-12-13,Não Corrigida
VUL002396,ATV00329,Alta,2025-03-15,Corrigida
VUL002397,ATV00125,Alta,2025-04-26,Não Corrigida
VUL002398,ATV00726,Alta,2025-04-04,Corrigida
VUL002399,ATV00150,Crítica,2024-12-09,Corrigida
VUL002400,ATV00028,Alta,2025-03-22,Em Progresso
VUL002401,ATV00265,Média,2025-05-06,Corrigida
VUL002402,ATV00178,Crítica,2024-11-24,Em Progresso
VUL002403,ATV00719,Baixa,2025-04-06,Não Corrigida
VUL002404,ATV00202,Crítica,2024-12-03,Em Progresso
VUL002405,ATV00166,Média,2024-12-26,Não Corrigida
VUL002406,ATV00041,Crítica,2024-12-26,Corrigida
VUL002407,ATV00589,Crítica,2025-04-15,Em Progresso
VUL002408,ATV00350,Alta,2025-01-19,Corrigida
VUL002409,ATV00359,Média,2025-03-11,Não Corrigida
VUL002410,ATV00928,Crítica,2025-04-09,Corrigida
VUL002411,ATV00996,Média,2025-02-14,Em Progresso
VUL002412,ATV00668,Alta,2025-03-10,Corrigida
VUL002413,ATV00195,Crítica,2025-01-15,Corrigida
VUL002414,ATV00179,Crítica,2025-02-12,Corrigida
VUL002415,ATV00228,Crítica,2025-04-28,Em Progresso
VUL002416,ATV00301,Alta,2025-01-27,Corrigida
VUL002417,ATV00699,Média,2024-12-21,Em Progresso
VUL002418,ATV00782,Alta,2025-01-09,Não Corrigida
VUL002419,ATV00994,Média,2024-12-22,Corrigida
VUL002420,ATV00178,Baixa,2025-03-25,Em Progresso
VUL002421,ATV00517,Média,2025-03-11,Não Corrigida
VUL002422,ATV00887,Média,2025-03-10,Não Corrigida
VUL002423,ATV00344,Alta,2025-01-27,Não Corrigida
VUL002424,ATV00153,Crítica,2025-03-21,Em Progresso
VUL002425,ATV00889,Média,2025-04-20,Corrigida
VUL002426,ATV00698,Média,2025-02-14,Não Corrigida
VUL002427,ATV00003,Crítica,2025-04-08,Não Corrigida
VUL002428,ATV00335,Alta,2024-12-18,Corrigida
VUL002429,ATV00882,Crítica,2025-04-07,Em Progresso
VUL002430,ATV00460,Crítica,2025-04-21,Não Corrigida
VUL002431,ATV00999,Alta,2025-04-22,Não Corrigida
VUL002432,ATV00758,Crítica,2024-12-19,Não Corrigida
VUL002433,ATV00379,Baixa,2025-01-16,Corrigida
VUL002434,ATV00456,Média,2025-03-04,Não Corrigida
VUL002435,ATV00285,Crítica,2025-04-05,Em Progresso
VUL002436,ATV00384,Baixa,2025-03-13,Corrigida
VUL002437,ATV00166,Crítica,2025-02-02,Em Progresso
VUL002438,ATV00331,Crítica,2025-02-04,Corrigida
VUL002439,ATV00025,Média,2025-04-24,Corrigida
VUL002440,ATV00908,Crítica,2025-04-11,Não Corrigida
VUL002441,ATV00454,Baixa,2025-02-21,Corrigida
VUL002442,ATV00054,Média,2025-04-14,Não Corrigida
VUL002443,ATV00241,Crítica,2025-02-20,Corrigida
VUL002444,ATV00204,Baixa,2025-01-21,Corrigida
