ID_Patch,ID_Ativo,Responsável,Data_Aplicação,Resultado
PTC002010,ATV00813,Marina,2025-02-11,Falha
PTC002011,ATV00297,João,2025-04-23,Sucesso
PTC002012,ATV00901,João,2025-02-09,Falha
PTC002013,ATV00002,Lucas,2025-02-19,Sucesso
PTC002014,ATV00068,Carlos,2025-04-19,Falha
PTC002015,ATV00838,João,2025-02-13,Falha
PTC002016,ATV00080,Marina,2025-03-25,Falha
PTC002017,ATV00825,Lucas,2025-03-02,Falha
PTC002018,ATV00551,Lucas,2025-02-28,Falha
PTC002019,ATV00745,João,2025-02-17,Sucesso
PTC002020,ATV00512,Carlos,2025-02-09,Falha
PTC002021,ATV00531,Marina,2024-12-11,Sucesso
PTC002022,ATV00890,Fernanda,2025-05-04,Sucesso
PTC002023,ATV00486,Marina,2025-05-02,Falha
PTC002024,ATV00430,Lucas,2025-05-04,Sucesso
PTC002025,ATV00681,Marina,2025-02-24,Sucesso
PTC002026,ATV00832,João,2024-12-04,Falha
PTC002027,ATV00743,Carlos,2025-02-07,Falha
PTC002028,ATV00206,Marina,2025-02-04,Sucesso
PTC002029,ATV00441,João,2025-01-03,Falha
PTC002030,ATV00847,Lucas,2024-12-24,Sucesso
PTC002031,ATV00411,Carlos,2025-04-15,Falha
PTC002032,ATV00860,Lucas,2025-01-01,Falha
PTC002033,ATV00280,Lucas,2025-04-25,Falha
PTC002034,ATV00833,Marina,2025-05-14,Sucesso
PTC002035,ATV00522,João,2025-03-16,Sucesso
PTC002036,ATV00120,Marina,2024-11-30,Sucesso
PTC002037,ATV00004,Lucas,2025-05-12,Sucesso
PTC002038,ATV00136,Fernanda,2024-12-31,Sucesso
PTC002039,ATV00362,Lucas,2024-12-03,Falha
PTC002040,ATV00021,João,2025-02-13,Falha
PTC002041,ATV00118,Fernanda,2025-04-06,Sucesso
PTC002042,ATV00493,Lucas,2025-02-13,Sucesso
PTC002043,ATV00244,Fernanda,2025-03-04,Sucesso
PTC002044,ATV00155,Carlos,2025-01-28,Falha
PTC002045,ATV00621,Carlos,2025-05-15,Falha
PTC002046,ATV00734,João,2025-02-26,Falha
PTC002047,ATV00879,João,2025-04-02,Sucesso
PTC002048,ATV00327,Fernanda,2024-12-25,Falha
PTC002049,ATV00613,Marina,2025-01-26,Sucesso
PTC002050,ATV00514,Fernanda,2025-03-03,Falha
PTC002051,ATV00391,João,2025-04-06,Sucesso
PTC002052,ATV00742,João,2025-02-19,Falha
PTC002053,ATV00013,Marina,2025-01-15,Sucesso
PTC002054,ATV00562,Marina,2025-04-01,Sucesso
PTC002055,ATV00954,Fernanda,2025-05-14,Falha
PTC002056,ATV00332,João,2025-04-04,Falha
PTC002057,ATV00444,João,2025-04-26,Sucesso
PTC002058,ATV00167,Carlos,2025-05-08,Falha
PTC002059,ATV00148,João,2025-03-10,Sucesso
PTC002060,ATV00516,Marina,2025-03-22,Sucesso
PTC002061,ATV00956,Lucas,2024-12-25,Sucesso
PTC002062,ATV00725,João,2025-01-15,Falha
PTC002063,ATV00822,João,2025-02-11,Sucesso
PTC002064,ATV00356,Carlos,2025-05-17,Sucesso
PTC002065,ATV00512,Carlos,2025-01-20,Falha
PTC002066,ATV00205,Lucas,2024-12-15,Falha
PTC002067,ATV00017,Fernanda,2025-04-07,Falha
PTC002068,ATV00158,Carlos,2025-04-04,Falha
PTC002069,ATV00135,Carlos,2025-03-06,Falha
PTC002070,ATV00324,João,2025-05-16,Sucesso
PTC002071,ATV00625,Marina,2025-02-06,Falha
PTC002072,ATV00430,João,2025-02-15,Sucesso
PTC002073,ATV00508,Marina,2025-01-22,Falha
PTC002074,ATV00389,Fernanda,2025-01-03,Falha
PTC002075,ATV00692,Marina,2024-12-19,Sucesso
PTC002076,ATV00056,Lucas,2024-12-30,Falha
PTC002077,ATV00526,Marina,2025-04-22,Sucesso
PTC002078,ATV00643,Carlos,2025-05-03,Sucesso
PTC002079,ATV00821,João,2025-02-15,Falha
PTC002080,ATV00636,Marina,2025-04-16,Falha
PTC002081,ATV00700,Fernanda,2024-12-18,Sucesso
PTC002082,ATV00748,Lucas,2025-01-04,Falha
PTC002083,ATV00527,Lucas,2025-04-22,Falha
PTC002084,ATV00790,Marina,2025-04-30,Falha
PTC002085,ATV00905,Fernanda,2025-03-18,Sucesso
PTC002086,ATV00707,Carlos,2025-04-14,Sucesso
PTC002087,ATV00340,Lucas,2025-02-20,Sucesso
PTC002088,ATV00149,João,2025-04-08,Falha
PTC002089,ATV00940,Lucas,2024-12-06,Falha
PTC002090,ATV00995,Carlos,2025-04-19,Falha
PTC002091,ATV00273,João,2024-12-05,Sucesso
PTC002092,ATV00678,Fernanda,2025-01-12,Sucesso
PTC002093,ATV00550,Fernanda,2025-05-07,Falha
PTC002094,ATV00255,João,2024-12-01,Sucesso
PTC002095,ATV00802,Fernanda,2025-01-20,Sucesso
PTC002096,ATV00511,Lucas,2025-03-04,Falha
PTC002097,ATV00029,Marina,2024-11-26,Falha
PTC002098,ATV00193,Carlos,2025-05-19,Falha
PTC002099,ATV00142,Lucas,2024-12-01,Sucesso
PTC002100,ATV00355,Marina,2025-01-10,Falha
PTC002101,ATV00141,Carlos,2025-05-04,Falha
PTC002102,ATV00699,João,2024-12-17,Sucesso
PTC002103,ATV00813,Fernanda,2025-02-02,Sucesso
PTC002104,ATV00489,Fernanda,2025-03-24,Falha
PTC002105,ATV00131,Fernanda,2025-03-11,Sucesso
PTC002106,ATV00575,João,2025-02-09,Falha
PTC002107,ATV00859,Fernanda,2025-01-31,Falha
PTC002108,ATV00346,Marina,2025-04-29,Sucesso
PTC002109,ATV00716,Lucas,2025-01-01,Falha
PTC002110,ATV00944,Marina,2025-05-16,Sucesso
PTC002111,ATV00586,Lucas,2024-11-23,Falha
PTC002112,ATV00203,Carlos,2025-04-02,Falha
PTC002113,ATV00644,Marina,2025-05-04,Sucesso
PTC002114,ATV00311,Fernanda,2025-02-13,Sucesso
PTC002115,ATV00791,Fernanda,2025-01-26,Sucesso
PTC002116,ATV00405,Marina,2025-05-04,Sucesso
PTC002117,ATV00760,Fernanda,2025-01-31,Falha
PTC002118,ATV00902,Lucas,2024-11-24,Sucesso
PTC002119,ATV00033,Carlos,2025-05-04,Falha
PTC002120,ATV00814,Carlos,2024-12-20,Sucesso
PTC002121,ATV00607,Carlos,2025-05-08,Falha
PTC002122,ATV00035,Fernanda,2025-05-02,Sucesso
PTC002123,ATV00206,Marina,2025-03-28,Sucesso
PTC002124,ATV00488,Lucas,2024-11-29,Sucesso
PTC002125,ATV00500,Carlos,2025-05-04,Falha
PTC002126,ATV00818,Fernanda,2024-12-24,Sucesso
PTC002127,ATV00150,Marina,2024-12-13,Sucesso
PTC002128,ATV00758,Carlos,2025-02-12,Sucesso
PTC002129,ATV00573,Fernanda,2025-04-10,Falha
PTC002130,ATV00172,Fernanda,2025-05-07,Sucesso
PTC002131,ATV00762,Fernanda,2025-05-05,Sucesso
PTC002132,ATV00750,Fernanda,2024-12-07,Sucesso
PTC002133,ATV00531,Carlos,2025-02-20,Sucesso
PTC002134,ATV00412,Carlos,2024-12-18,Sucesso
PTC002135,ATV00868,Lucas,2025-03-16,Sucesso
PTC002136,ATV00360,João,2025-05-05,Sucesso
PTC002137,ATV00286,João,2024-12-07,Falha
PTC002138,ATV00956,Fernanda,2025-04-20,Sucesso
PTC002139,ATV00321,João,2025-02-15,Sucesso
PTC002140,ATV00331,Lucas,2025-04-18,Falha
PTC002141,ATV00598,Carlos,2025-01-23,Falha
PTC002142,ATV00118,Lucas,2025-03-30,Sucesso
PTC002143,ATV00141,Fernanda,2025-05-16,Sucesso
PTC002144,ATV00327,Lucas,2025-01-29,Falha
PTC002145,ATV00931,João,2025-04-10,Falha
PTC002146,ATV00893,Fernanda,2025-02-10,Sucesso
PTC002147,ATV00546,Lucas,2025-04-03,Sucesso
PTC002148,ATV00992,Carlos,2025-05-21,Sucesso
PTC002149,ATV00489,Marina,2025-05-12,Falha
PTC002150,ATV00891,Marina,2025-05-06,Sucesso
PTC002151,ATV00303,João,2025-02-28,Sucesso
PTC002152,ATV00053,Carlos,2025-02-13,Sucesso
PTC002153,ATV00757,Marina,2025-02-18,Sucesso
PTC002154,ATV00412,Fernanda,2025-01-20,Falha
PTC002155,ATV00699,Carlos,2025-03-13,Sucesso
PTC002156,ATV00559,Carlos,2024-11-30,Sucesso
PTC002157,ATV00031,Marina,2025-01-02,Falha
PTC002158,ATV00004,Marina,2025-01-08,Falha
PTC002159,ATV00374,Carlos,2024-12-10,Sucesso
PTC002160,ATV00980,Lucas,2025-02-10,Falha
PTC002161,ATV00139,João,2025-01-12,Falha
PTC002162,ATV00173,Lucas,2025-03-15,Sucesso
PTC002163,ATV00140,João,2025-04-09,Falha
PTC002164,ATV00724,Marina,2025-02-14,Falha
PTC002165,ATV00051,João,2025-04-21,Falha
PTC002166,ATV00266,Carlos,2025-01-07,Sucesso
PTC002167,ATV00762,Carlos,2025-04-07,Falha
PTC002168,ATV00989,Fernanda,2025-02-15,Sucesso
PTC002169,ATV00286,Marina,2025-01-12,Falha
PTC002170,ATV00927,Lucas,2025-04-29,Sucesso
PTC002171,ATV00029,João,2025-05-06,Sucesso
PTC002172,ATV00253,Marina,2025-03-15,Sucesso
PTC002173,ATV00475,João,2024-12-24,Falha
PTC002174,ATV00070,João,2024-12-11,Falha
PTC002175,ATV00085,Marina,2025-02-26,Sucesso
PTC002176,ATV00964,Fernanda,2024-11-30,Sucesso
PTC002177,ATV00572,João,2025-04-08,Falha
PTC002178,ATV00774,Lucas,2025-04-10,Sucesso
PTC002179,ATV00092,Marina,2025-02-25,Falha
PTC002180,ATV00480,Fernanda,2024-11-23,Sucesso
PTC002181,ATV00282,Fernanda,2025-05-22,Sucesso
PTC002182,ATV00195,João,2025-04-07,Falha
PTC002183,ATV00980,Lucas,2025-01-11,Sucesso
PTC002184,ATV00219,Marina,2025-05-03,Sucesso
PTC002185,ATV00783,Lucas,2025-03-03,Sucesso
PTC002186,ATV00999,Carlos,2025-01-13,Falha
PTC002187,ATV00490,João,2025-01-10,Sucesso
PTC002188,ATV00168,Lucas,2025-01-14,Sucesso
PTC002189,ATV00007,Fernanda,2025-04-06,Sucesso
PTC002190,ATV00725,Marina,2025-02-27,Sucesso
PTC002191,ATV00874,Carlos,2024-12-27,Falha
PTC002192,ATV00391,Fernanda,2025-03-28,Falha
PTC002193,ATV00365,Marina,2025-01-28,Falha
PTC002194,ATV00291,Fernanda,2024-12-12,Sucesso
PTC002195,ATV00407,Lucas,2025-02-13,Falha
PTC002196,ATV00875,João,2025-04-17,Sucesso
PTC002197,ATV00450,Fernanda,2025-04-16,Sucesso
PTC002198,ATV00879,Lucas,2024-11-30,Falha
PTC002199,ATV00352,João,2025-02-18,Falha
PTC002200,ATV00484,Marina,2024-12-30,Falha
PTC002201,ATV00915,Carlos,2025-05-19,Falha
PTC002202,ATV00089,João,2025-04-15,Falha
PTC002203,ATV00285,Carlos,2025-04-21,Sucesso
PTC002204,ATV00609,João,2025-05-06,Sucesso
PTC002205,ATV00529,Marina,2024-11-29,Sucesso
PTC002206,ATV00780,Fernanda,2025-04-25,Falha
PTC002207,ATV00308,Marina,2025-03-17,Sucesso
PTC002208,ATV00559,João,2025-02-19,Sucesso
PTC002209,ATV00606,Carlos,2025-02-17,Falha
PTC002210,ATV00588,Carlos,2025-03-08,Falha
PTC002211,ATV00752,Lucas,2025-04-27,Falha
PTC002212,ATV00802,Marina,2025-05-10,Falha
PTC002213,ATV00795,Marina,2025-03-12,Falha
PTC002214,ATV00575,Fernanda,2025-04-21,Sucesso
PTC002215,ATV00082,Carlos,2025-05-03,Falha
PTC002216,ATV00056,Marina,2025-02-16,Sucesso
PTC002217,ATV00151,Carlos,2025-01-30,Sucesso
PTC002218,ATV00728,Lucas,2024-12-12,Falha
PTC002219,ATV00503,Lucas,2025-04-01,Sucesso
PTC002220,ATV00997,João,2025-04-18,Falha
PTC002221,ATV00229,Marina,2025-02-15,Sucesso
PTC002222,ATV00183,Fernanda,2025-01-01,Falha
PTC002223,ATV00577,Lucas,2025-01-29,Falha
PTC002224,ATV00162,Marina,2025-02-12,Falha
PTC002225,ATV00481,Marina,2025-02-15,Sucesso
PTC002226,ATV00155,Marina,2025-04-08,Falha
PTC002227,ATV00222,Lucas,2025-03-18,Sucesso
PTC002228,ATV00519,Marina,2025-03-14,Falha
PTC002229,ATV00125,João,2024-12-27,Falha
PTC002230,ATV00174,Carlos,2025-02-07,Falha
PTC002231,ATV00737,Marina,2025-03-15,Sucesso
PTC002232,ATV00448,Lucas,2025-03-27,Sucesso
PTC002233,ATV00746,João,2025-05-11,Falha
PTC002234,ATV00564,Marina,2025-02-07,Sucesso
PTC002235,ATV00612,João,2025-05-11,Sucesso
PTC002236,ATV00258,João,2025-04-10,Falha
PTC002237,ATV00446,João,2025-01-17,Falha
PTC002238,ATV00659,Lucas,2025-03-21,Sucesso
PTC002239,ATV00598,Carlos,2025-05-11,Falha
PTC002240,ATV00736,Fernanda,2025-02-01,Sucesso
PTC002241,ATV00526,Fernanda,2025-01-10,Falha
PTC002242,ATV00107,Fernanda,2025-04-06,Sucesso
PTC002243,ATV00702,Carlos,2025-02-28,Sucesso
PTC002244,ATV00678,Lucas,2025-04-20,Falha
PTC002245,ATV00787,Marina,2025-02-19,Falha
PTC002246,ATV00847,Fernanda,2025-03-25,Falha
PTC002247,ATV00004,Carlos,2025-03-21,Falha
PTC002248,ATV00897,Lucas,2025-05-18,Sucesso
PTC002249,ATV00654,Carlos,2025-01-24,Sucesso
PTC002250,ATV00254,Lucas,2024-12-08,Sucesso
PTC002251,ATV00316,Carlos,2025-03-10,Sucesso
PTC002252,ATV00058,Marina,2024-12-22,Sucesso
PTC002253,ATV00826,Carlos,2025-01-20,Sucesso
PTC002254,ATV00616,Marina,2024-12-03,Falha
PTC002255,ATV00382,João,2025-04-15,Sucesso
PTC002256,ATV00361,Fernanda,2024-11-24,Falha
PTC002257,ATV00041,João,2025-01-25,Falha
PTC002258,ATV00896,Fernanda,2025-02-20,Sucesso
PTC002259,ATV00504,Lucas,2024-12-22,Falha
PTC002260,ATV00452,Marina,2024-12-05,Falha
PTC002261,ATV00253,Marina,2025-01-02,Sucesso
PTC002262,ATV00393,Fernanda,2025-02-15,Sucesso
PTC002263,ATV00618,Marina,2025-04-06,Sucesso
PTC002264,ATV00307,Carlos,2025-05-02,Sucesso
PTC002265,ATV00207,Lucas,2025-04-24,Sucesso
PTC002266,ATV00602,Lucas,2025-03-14,Falha
PTC002267,ATV00473,Fernanda,2025-04-16,Falha
PTC002268,ATV00151,Fernanda,2024-12-31,Falha
PTC002269,ATV00531,Fernanda,2024-12-28,Falha
PTC002270,ATV00071,João,2024-11-29,Falha
PTC002271,ATV00480,Fernanda,2024-12-07,Falha
PTC002272,ATV00241,Lucas,2025-05-18,Falha
PTC002273,ATV00261,João,2025-02-12,Falha
PTC002274,ATV00870,Fernanda,2025-04-29,Falha
PTC002275,ATV00986,João,2025-04-11,Sucesso
PTC002276,ATV00918,Fernanda,2024-12-21,Sucesso
PTC002277,ATV00148,Marina,2025-05-11,Falha
PTC002278,ATV00412,Carlos,2025-05-08,Falha
PTC002279,ATV00991,Carlos,2024-12-27,Falha
PTC002280,ATV00313,Carlos,2024-11-27,Falha
PTC002281,ATV00649,Fernanda,2025-05-18,Sucesso
PTC002282,ATV00714,Fernanda,2025-03-04,Sucesso
PTC002283,ATV00140,Lucas,2025-03-26,Sucesso
PTC002284,ATV00518,Carlos,2025-02-15,Sucesso
PTC002285,ATV00506,Lucas,2024-12-08,Falha
PTC002286,ATV00876,Lucas,2024-12-03,Sucesso
PTC002287,ATV00156,Carlos,2024-12-03,Falha
PTC002288,ATV00456,Fernanda,2024-12-12,Falha
PTC002289,ATV00729,Marina,2025-04-02,Sucesso
PTC002290,ATV00119,Carlos,2025-02-17,Falha
PTC002291,ATV00333,Marina,2025-02-04,Sucesso
PTC002292,ATV00742,João,2025-04-03,Sucesso
PTC002293,ATV00536,Lucas,2025-04-22,Sucesso
PTC002294,ATV00226,João,2025-01-24,Falha
PTC002295,ATV00391,Marina,2025-03-18,Falha
PTC002296,ATV00774,Marina,2025-01-02,Sucesso
PTC002297,ATV00292,Lucas,2024-12-28,Falha
PTC002298,ATV00416,Marina,2024-12-28,Sucesso
PTC002299,ATV00676,Carlos,2024-12-28,Sucesso
PTC002300,ATV00094,Lucas,2025-03-10,Sucesso
PTC002301,ATV00585,Marina,2025-01-14,Sucesso
PTC002302,ATV00677,Fernanda,2025-03-17,Sucesso
PTC002303,ATV00935,João,2025-02-05,Sucesso
PTC002304,ATV00908,Marina,2025-01-31,Sucesso
PTC002305,ATV00408,Lucas,2025-01-17,Sucesso
PTC002306,ATV00043,Carlos,2025-02-26,Falha
PTC002307,ATV00335,Fernanda,2025-04-22,Sucesso
PTC002308,ATV00834,Carlos,2025-01-01,Falha
PTC002309,ATV00805,Carlos,2024-12-11,Falha
PTC002310,ATV00058,Carlos,2025-05-10,Falha
PTC002311,ATV00603,Carlos,2024-12-08,Falha
PTC002312,ATV00091,Marina,2025-04-19,Sucesso
PTC002313,ATV00239,Marina,2025-02-15,Sucesso
PTC002314,ATV00072,Fernanda,2025-04-21,Falha
PTC002315,ATV00457,Marina,2024-12-04,Falha
PTC002316,ATV00032,João,2025-05-10,Falha
PTC002317,ATV00164,Marina,2025-01-03,Falha
PTC002318,ATV00618,Carlos,2025-04-08,Sucesso
PTC002319,ATV00830,Marina,2025-02-23,Falha
PTC002320,ATV00347,Carlos,2025-05-03,Falha
PTC002321,ATV00425,Carlos,2025-04-19,Sucesso
PTC002322,ATV00157,Lucas,2024-11-29,Falha
PTC002323,ATV00161,Lucas,2025-03-20,Falha
PTC002324,ATV00414,Fernanda,2025-03-26,Falha
PTC002325,ATV00922,Lucas,2024-12-26,Falha
PTC002326,ATV00938,Fernanda,2025-03-25,Sucesso
PTC002327,ATV00570,Carlos,2025-03-28,Falha
PTC002328,ATV00875,Carlos,2024-12-26,Sucesso
PTC002329,ATV00939,Lucas,2024-11-25,Sucesso
PTC002330,ATV00058,Carlos,2025-02-11,Falha
PTC002331,ATV00883,Marina,2024-12-18,Sucesso
PTC002332,ATV00388,Marina,2025-04-09,Sucesso
PTC002333,ATV00298,Lucas,2025-04-23,Sucesso
PTC002334,ATV00677,João,2024-11-24,Falha
PTC002335,ATV00161,Lucas,2025-02-25,Falha
PTC002336,ATV00072,Fernanda,2024-12-25,Falha
PTC002337,ATV00667,Lucas,2025-05-07,Sucesso
PTC002338,ATV00634,Marina,2025-05-13,Sucesso
PTC002339,ATV00419,Marina,2025-04-23,Sucesso
PTC002340,ATV00755,Fernanda,2024-12-23,Falha
PTC002341,ATV00649,João,2024-12-16,Sucesso
PTC002342,ATV00037,Lucas,2025-01-07,Sucesso
PTC002343,ATV00241,João,2025-05-22,Falha
PTC002344,ATV00904,Carlos,2024-12-25,Sucesso
PTC002345,ATV00429,João,2025-04-11,Sucesso
PTC002346,ATV00256,João,2025-01-14,Falha
PTC002347,ATV00278,João,2025-04-26,Falha
PTC002348,ATV00353,Marina,2025-02-07,Sucesso
PTC002349,ATV00303,Marina,2025-04-08,Falha
PTC002350,ATV00785,Marina,2025-03-21,Sucesso
PTC002351,ATV00836,João,2025-03-16,Sucesso
PTC002352,ATV00282,Lucas,2025-05-15,Falha
PTC002353,ATV00801,Marina,2025-03-20,Sucesso
PTC002354,ATV00082,Marina,2025-05-08,Falha
PTC002355,ATV00616,Fernanda,2025-04-24,Sucesso
PTC002356,ATV00916,Lucas,2025-05-06,Sucesso
PTC002357,ATV00485,Fernanda,2024-12-20,Sucesso
PTC002358,ATV00121,Lucas,2025-03-10,Sucesso
PTC002359,ATV00674,Marina,2024-11-25,Sucesso
PTC002360,ATV00183,Marina,2025-02-23,Falha
PTC002361,ATV00848,João,2025-01-04,Sucesso
PTC002362,ATV00717,Lucas,2025-03-24,Sucesso
PTC002363,ATV00835,Lucas,2025-01-20,Falha
PTC002364,ATV00563,João,2025-04-24,Sucesso
PTC002365,ATV00960,Fernanda,2025-04-18,Sucesso
PTC002366,ATV00979,Fernanda,2025-01-09,Falha
PTC002367,ATV00487,Marina,2024-11-23,Falha
PTC002368,ATV00494,Marina,2024-12-02,Falha
PTC002369,ATV00767,Carlos,2025-03-20,Sucesso
PTC002370,ATV00383,João,2025-01-17,Falha
PTC002371,ATV00530,João,2025-03-06,Falha
PTC002372,ATV00129,Lucas,2025-05-15,Falha
PTC002373,ATV00936,Fernanda,2024-12-08,Falha
PTC002374,ATV00702,Lucas,2025-01-06,Sucesso
PTC002375,ATV00015,Marina,2025-05-06,Sucesso
PTC002376,ATV00957,Lucas,2025-04-16,Sucesso
PTC002377,ATV00071,Marina,2024-12-17,Falha
PTC002378,ATV00965,Carlos,2025-05-09,Falha
PTC002379,ATV00655,Carlos,2024-12-18,Sucesso
PTC002380,ATV00531,Carlos,2025-02-27,Sucesso
PTC002381,ATV00462,Carlos,2024-12-29,Falha
PTC002382,ATV00969,Fernanda,2024-12-30,Falha
PTC002383,ATV00543,João,2025-02-13,Falha
PTC002384,ATV00650,Marina,2025-03-21,Sucesso
PTC002385,ATV00991,Marina,2024-12-19,Sucesso
PTC002386,ATV00281,João,2025-04-09,Falha
PTC002387,ATV00073,João,2025-04-11,Sucesso
PTC002388,ATV00379,Lucas,2025-02-26,Sucesso
PTC002389,ATV00407,Marina,2025-02-16,Sucesso
PTC002390,ATV00708,Fernanda,2025-05-06,Falha
PTC002391,ATV00939,Lucas,2024-12-03,Falha
PTC002392,ATV00288,Fernanda,2025-04-15,Falha
PTC002393,ATV00036,Lucas,2025-02-16,Falha
PTC002394,ATV00411,Carlos,2025-02-26,Falha
PTC002395,ATV00670,João,2025-01-23,Sucesso
PTC002396,ATV00780,Fernanda,2024-12-16,Sucesso
PTC002397,ATV00760,Carlos,2025-01-10,Falha
PTC002398,ATV00869,Lucas,2025-04-21,Sucesso
PTC002399,ATV00455,Lucas,2025-03-11,Falha
PTC002400,ATV00683,Carlos,2025-03-09,Sucesso
PTC002401,ATV00303,Carlos,2024-12-02,Falha
PTC002402,ATV00811,Marina,2025-02-26,Sucesso
PTC002403,ATV00319,Fernanda,2025-04-24,Sucesso
PTC002404,ATV00415,Lucas,2025-03-21,Falha
PTC002405,ATV00579,Fernanda,2024-12-23,Falha
PTC002406,ATV00469,Lucas,2025-01-30,Sucesso
PTC002407,ATV00111,João,2024-12-23,Falha
PTC002408,ATV00872,Fernanda,2024-12-27,Falha
PTC002409,ATV00795,Carlos,2024-12-08,Sucesso
PTC002410,ATV00194,Marina,2025-03-31,Sucesso
PTC002411,ATV00092,Lucas,2025-02-28,Sucesso
PTC002412,ATV00995,Lucas,2025-03-10,Falha
PTC002413,ATV00748,Lucas,2024-12-05,Falha
PTC002414,ATV00931,Marina,2025-01-04,Sucesso
PTC002415,ATV00605,Lucas,2025-01-05,Sucesso
PTC002416,ATV00622,Fernanda,2025-04-03,Sucesso
PTC002417,ATV00426,Marina,2024-11-29,Falha
PTC002418,ATV00601,João,2025-04-09,Falha
PTC002419,ATV00227,Marina,2025-03-09,Falha
PTC002420,ATV00111,Lucas,2025-03-16,Falha
PTC002421,ATV00924,Lucas,2025-05-12,Sucesso
PTC002422,ATV00563,Marina,2025-03-05,Sucesso
PTC002423,ATV00551,Marina,2025-01-18,Sucesso
PTC002424,ATV00870,João,2024-12-10,Falha
PTC002425,ATV00039,Fernanda,2025-03-29,Falha
PTC002426,ATV00007,Marina,2024-11-30,Sucesso
PTC002427,ATV00544,Carlos,2025-05-01,Falha
PTC002428,ATV00289,Lucas,2025-05-06,Sucesso
PTC002429,ATV00673,Fernanda,2025-04-05,Sucesso
PTC002430,ATV00615,Marina,2024-12-12,Falha
PTC002431,ATV00366,João,2024-12-06,Falha
PTC002432,ATV00133,Carlos,2025-04-18,Sucesso
PTC002433,ATV00764,Lucas,2024-11-27,Falha
PTC002434,ATV00769,Carlos,2025-03-24,Falha
PTC002435,ATV00254,Lucas,2025-01-14,Falha
PTC002436,ATV00112,Fernanda,2025-01-29,Falha
PTC002437,ATV00188,Lucas,2025-04-10,Falha
PTC002438,ATV00665,João,2024-12-16,Falha
PTC002439,ATV00024,Fernanda,2025-02-28,Sucesso
PTC002440,ATV00812,Fernanda,2025-01-24,Sucesso
PTC002441,ATV00981,Fernanda,2025-01-02,Falha
PTC002442,ATV00948,João,2025-04-02,Sucesso
PTC002443,ATV00879,Carlos,2024-12-10,Sucesso
PTC002444,ATV00222,Marina,2025-02-08,Sucesso
PTC002445,ATV00262,Marina,2025-04-12,Sucesso
PTC002446,ATV00190,Marina,2024-12-15,Falha
PTC002447,ATV00544,Marina,2025-01-04,Sucesso
PTC002448,ATV00292,João,2025-03-06,Falha
PTC002449,ATV00516,Lucas,2024-12-02,Falha
PTC002450,ATV00133,Marina,2024-12-10,Falha
PTC002451,ATV00836,Lucas,2025-03-16,Sucesso
PTC002452,ATV00699,Carlos,2025-03-23,Falha
PTC002453,ATV00602,Marina,2025-03-19,Sucesso
PTC002454,ATV00075,João,2025-05-07,Sucesso
PTC002455,ATV00374,Fernanda,2024-12-16,Falha
PTC002456,ATV00998,Carlos,2025-04-14,Falha
PTC002457,ATV00450,Carlos,2024-12-02,Sucesso
PTC002458,ATV00803,Fernanda,2025-02-24,Falha
PTC002459,ATV00325,Fernanda,2025-01-17,Sucesso
PTC002460,ATV00521,João,2024-12-06,Sucesso
PTC002461,ATV00171,Marina,2025-03-06,Sucesso
PTC002462,ATV00304,Fernanda,2025-02-06,Falha
PTC002463,ATV00038,Lucas,2025-01-23,Sucesso
PTC002464,ATV00390,Lucas,2025-02-14,Sucesso
PTC002465,ATV00179,Carlos,2024-12-08,Sucesso
PTC002466,ATV00140,Fernanda,2025-03-17,Sucesso
PTC002467,ATV00986,Lucas,2025-03-29,Falha
PTC002468,ATV00602,Lucas,2025-04-16,Sucesso
PTC002469,ATV00685,Marina,2024-12-08,Sucesso
PTC002470,ATV00704,Carlos,2025-04-08,Falha
PTC002471,ATV00463,Marina,2025-01-10,Sucesso
PTC002472,ATV00522,Fernanda,2025-05-21,Sucesso
PTC002473,ATV00077,Fernanda,2024-12-03,Falha
PTC002474,ATV00471,Lucas,2025-01-30,Falha
PTC002475,ATV00983,João,2024-11-26,Sucesso
PTC002476,ATV00111,Fernanda,2024-11-29,Sucesso
PTC002477,ATV00225,Lucas,2025-04-26,Falha
PTC002478,ATV00042,João,2024-12-13,Falha
PTC002479,ATV00480,Marina,2025-01-30,Sucesso
PTC002480,ATV00997,Marina,2025-04-07,Sucesso
PTC002481,ATV00803,Marina,2025-02-22,Falha
PTC002482,ATV00448,Marina,2024-12-03,Falha
PTC002483,ATV00618,Carlos,2024-12-14,Sucesso
PTC002484,ATV00471,Carlos,2024-12-03,Falha
PTC002485,ATV00674,Fernanda,2025-03-13,Falha
PTC002486,ATV00035,Lucas,2025-01-19,Sucesso
PTC002487,ATV00306,Lucas,2025-03-28,Sucesso
PTC002488,ATV00006,João,2025-04-03,Falha
PTC002489,ATV00275,Lucas,2025-01-12,Sucesso
PTC002490,ATV00829,Fernanda,2025-01-27,Sucesso
PTC002491,ATV00598,Fernanda,2025-01-04,Falha
PTC002492,ATV00623,Marina,2025-01-26,Sucesso
PTC002493,ATV00974,Lucas,2025-01-31,Falha
PTC002494,ATV00546,Marina,2025-03-14,Falha
PTC002495,ATV00780,Lucas,2025-01-06,Sucesso
PTC002496,ATV00294,Lucas,2024-12-10,Sucesso
PTC002497,ATV00587,Carlos,2024-12-08,Sucesso
PTC002498,ATV00610,Lucas,2025-03-08,Sucesso
PTC002499,ATV00120,Marina,2025-05-12,Falha
